classname,Source
Dermatology,DERMATOLOGIC THERAPY
Dermatology,DERMATOLOGIC CLINICS
Dermatology,EUROPEAN JOURNAL OF DERMATOLOGY
Dermatology,ADVANCES IN SKIN & WOUND CARE
Education & Educational Research,EDUCATIONAL MEASUREMENT-ISSUES AND PRACTICE
Education & Educational Research,EDUCATIONAL STUDIES IN MATHEMATICS
Education & Educational Research,STUDIES IN HIGHER EDUCATION
Education & Educational Research,INTERNATIONAL JOURNAL OF INCLUSIVE EDUCATION
Education & Educational Research,TEACHING OF PSYCHOLOGY
Education & Educational Research,MODERN LANGUAGE JOURNAL
Education & Educational Research,READING TEACHER
Education & Educational Research,RESEARCH PAPERS IN EDUCATION
Education & Educational Research,JOURNAL OF SURGICAL EDUCATION
Education & Educational Research,SYSTEM
Engineering,INTERNATIONAL JOURNAL OF ARTIFICIAL ORGANS
Engineering,INTERNATIONAL JOURNAL OF SURFACE SCIENCE AND ENGINEERING
Engineering,EPE JOURNAL
Engineering,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY
Engineering,THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING
Engineering,QUALITY ENGINEERING
Engineering,FIRE TECHNOLOGY
Engineering,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART H-JOURNAL OF ENGINEERING IN MEDICINE
Engineering,INTERNATIONAL JOURNAL OF MECHANICS AND MATERIALS IN DESIGN
Engineering,THEORETICAL FOUNDATIONS OF CHEMICAL ENGINEERING
Environmental Sciences & Ecology,LAND DEGRADATION & DEVELOPMENT
Environmental Sciences & Ecology,ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE
Environmental Sciences & Ecology,CLIMATIC CHANGE
Environmental Sciences & Ecology,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT
Environmental Sciences & Ecology,JOURNAL OF TROPICAL ECOLOGY
Environmental Sciences & Ecology,FUNGAL ECOLOGY
Environmental Sciences & Ecology,CONTEMPORARY PROBLEMS OF ECOLOGY
Environmental Sciences & Ecology,AQUATIC ECOSYSTEM HEALTH & MANAGEMENT
Environmental Sciences & Ecology,RANGELAND JOURNAL
Environmental Sciences & Ecology,JOURNAL OF ENVIRONMENTAL SCIENCES-CHINA
Fisheries,AQUACULTURE NUTRITION
Fisheries,FISH PATHOLOGY
Fisheries,MEDITERRANEAN MARINE SCIENCE
Fisheries,FISH & SHELLFISH IMMUNOLOGY
Fisheries,FISH AND FISHERIES
Fisheries,FISHERIES SCIENCE
Fisheries,MEDITERRANEAN MARINE SCIENCE
Fisheries,KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS
Fisheries,BOLETIM DO INSTITUTO DE PESCA
Fisheries,BOLETIM DO INSTITUTO DE PESCA
Forestry,SOUTHERN FORESTS
Forestry,FORESTRY CHRONICLE
Forestry,SUMARSKI LIST
Forestry,ANNALS OF FOREST SCIENCE
Forestry,IFOREST-BIOGEOSCIENCES AND FORESTRY
Forestry,JOURNAL OF FORESTRY
Forestry,CERNE
Forestry,SMALL-SCALE FORESTRY
Forestry,EUROPEAN JOURNAL OF FOREST RESEARCH
Forestry,REVISTA ARVORE
Geochemistry & Geophysics,GEOCHEMISTRY-EXPLORATION ENVIRONMENT ANALYSIS
Geochemistry & Geophysics,JOURNAL OF PETROLOGY
Geochemistry & Geophysics,TECTONICS
Geochemistry & Geophysics,JOURNAL OF GEOCHEMICAL EXPLORATION
Geochemistry & Geophysics,JOURNAL OF PETROLOGY
Geochemistry & Geophysics,JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS
Geochemistry & Geophysics,GEOCHIMICA ET COSMOCHIMICA ACTA
Geochemistry & Geophysics,GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS
Geochemistry & Geophysics,JOURNAL OF PETROLOGY
Geochemistry & Geophysics,JOURNAL OF GEOSCIENCES
Geology,GEOPHYSICAL RESEARCH LETTERS
Geology,JOURNAL OF PETROLEUM GEOLOGY
Geology,NATURAL HAZARDS
Geology,GEOPHYSICAL RESEARCH LETTERS
Geology,JOURNAL OF PETROLEUM GEOLOGY
Geology,GFF
Geology,ORE GEOLOGY REVIEWS
Geology,RUSSIAN GEOLOGY AND GEOPHYSICS
Geology,FACIES
Geology,JOURNAL OF APPLIED GEOPHYSICS
Geriatrics & Gerontology,CLINICAL INTERVENTIONS IN AGING
Geriatrics & Gerontology,JOURNAL OF APPLIED GERONTOLOGY
Geriatrics & Gerontology,FRONTIERS IN AGING NEUROSCIENCE
Geriatrics & Gerontology,JOURNAL OF GERIATRIC PHYSICAL THERAPY
Geriatrics & Gerontology,JOURNAL OF AGING STUDIES
Geriatrics & Gerontology,Clinical Interventions in Aging
Geriatrics & Gerontology,NEUROBIOLOGY OF AGING
Geriatrics & Gerontology,NEUROBIOLOGY OF AGING
Geriatrics & Gerontology,AGE
Geriatrics & Gerontology,INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT
Immunology,IMMUNOLOGIC RESEARCH
Immunology,PATHOGENS AND DISEASE
Immunology,IMMUNOLOGY LETTERS
Immunology,INDIAN JOURNAL OF MEDICAL MICROBIOLOGY
Immunology,IMMUNOLOGICAL REVIEWS
Immunology,VIRAL IMMUNOLOGY
Immunology,IMMUNOLOGICAL REVIEWS
Immunology,AUTOIMMUNITY REVIEWS
Immunology,INTERNATIONAL IMMUNOLOGY
Immunology,VACCINE
Mathematics,SELECTA MATHEMATICA-NEW SERIES
Mathematics,MATHEMATISCHE ZEITSCHRIFT
Mathematics,JOURNAL OF MATHEMATICAL FLUID MECHANICS
Mathematics,JOURNAL OF THE INSTITUTE OF MATHEMATICS OF JUSSIEU
Mathematics,REVISTA MATEMATICA COMPLUTENSE
Mathematics,JOURNAL OF MATHEMATICAL FLUID MECHANICS
Mathematics,JOURNAL OF FUNCTIONAL ANALYSIS
Mathematics,COMMUNICATIONS IN STATISTICS-SIMULATION AND COMPUTATION
Mathematics,COMMUNICATIONS ON PURE AND APPLIED ANALYSIS
Mathematics,ALGEBRA COLLOQUIUM
Mechanics,ACTA MECHANICA
Mechanics,INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS
Mechanics,FLUID DYNAMICS RESEARCH
Mechanics,APPLIED MECHANICS REVIEWS
Mechanics,MECHANIKA
Mechanics,FLUID DYNAMICS
Mechanics,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS
Mechanics,JOURNAL OF NON-NEWTONIAN FLUID MECHANICS
Mechanics,MECHANICS RESEARCH COMMUNICATIONS
Mechanics,FLUID DYNAMICS
Metallurgy & Metallurgical Engineering,PHYSICS OF METALS AND METALLOGRAPHY
Metallurgy & Metallurgical Engineering,International Journal of Materials Research
Metallurgy & Metallurgical Engineering,INTERNATIONAL JOURNAL OF CAST METALS RESEARCH
Metallurgy & Metallurgical Engineering,WELDING IN THE WORLD
Metallurgy & Metallurgical Engineering,JOURNAL OF CENTRAL SOUTH UNIVERSITY
Metallurgy & Metallurgical Engineering,METALLURGIST
Metallurgy & Metallurgical Engineering,ISIJ INTERNATIONAL
Metallurgy & Metallurgical Engineering,RUSSIAN JOURNAL OF NON-FERROUS METALS
Metallurgy & Metallurgical Engineering,CANADIAN METALLURGICAL QUARTERLY
Metallurgy & Metallurgical Engineering,ARCHIVES OF METALLURGY AND MATERIALS
Meteorology & Atmospheric Sciences,JOURNAL OF METEOROLOGICAL RESEARCH
Meteorology & Atmospheric Sciences,MONTHLY WEATHER REVIEW
Meteorology & Atmospheric Sciences,WEATHER AND FORECASTING
Meteorology & Atmospheric Sciences,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY
Meteorology & Atmospheric Sciences,CLIMATE DYNAMICS
Meteorology & Atmospheric Sciences,JOURNAL OF HYDROMETEOROLOGY
Meteorology & Atmospheric Sciences,WEATHER
Meteorology & Atmospheric Sciences,MONTHLY WEATHER REVIEW
Meteorology & Atmospheric Sciences,INTERNATIONAL JOURNAL OF CLIMATOLOGY
Meteorology & Atmospheric Sciences,JOURNAL OF HYDROMETEOROLOGY
Neurosciences & Neurology,ACTA NEUROBIOLOGIAE EXPERIMENTALIS
Neurosciences & Neurology,NEUROPHOTONICS
Neurosciences & Neurology,MOLECULAR PAIN
Neurosciences & Neurology,Journal of Neurological Surgery Part A-Central European Neurosurgery
Neurosciences & Neurology,JOURNAL OF PAIN
Neurosciences & Neurology,HUMAN PSYCHOPHARMACOLOGY-CLINICAL AND EXPERIMENTAL
Neurosciences & Neurology,FRONTIERS IN HUMAN NEUROSCIENCE
Neurosciences & Neurology,FRONTIERS IN NEUROLOGY
Neurosciences & Neurology,JOURNAL OF COMPARATIVE NEUROLOGY
Neurosciences & Neurology,JOURNAL OF NEUROPHYSIOLOGY
Nutrition & Dietetics,NUTRITION REVIEWS
Nutrition & Dietetics,NUTRITION
Nutrition & Dietetics,EUROPEAN JOURNAL OF NUTRITION
Nutrition & Dietetics,NUTRITION RESEARCH REVIEWS
Nutrition & Dietetics,"DIET, SULFUR AMINO ACIDS, AND HEALTH SPAN"
Nutrition & Dietetics,NUTRITION IN CLINICAL PRACTICE
Nutrition & Dietetics,INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM
Nutrition & Dietetics,INTERNATIONAL JOURNAL OF BEHAVIORAL NUTRITION AND PHYSICAL ACTIVITY
Nutrition & Dietetics,INTERNATIONAL JOURNAL OF SPORT NUTRITION AND EXERCISE METABOLISM
Nutrition & Dietetics,"DIET, SULFUR AMINO ACIDS, AND HEALTH SPAN"
Obstetrics & Gynecology,FERTILITY AND STERILITY
Obstetrics & Gynecology,BJOG-AN INTERNATIONAL JOURNAL OF OBSTETRICS AND GYNAECOLOGY
Obstetrics & Gynecology,BEST PRACTICE & RESEARCH CLINICAL OBSTETRICS & GYNAECOLOGY
Obstetrics & Gynecology,JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE
Obstetrics & Gynecology,HUMAN FERTILITY
Obstetrics & Gynecology,REPRODUCTIVE SCIENCES
Obstetrics & Gynecology,REPRODUCTIVE SCIENCES
Obstetrics & Gynecology,JOURNAL OF MATERNAL-FETAL & NEONATAL MEDICINE
Obstetrics & Gynecology,FERTILITY AND STERILITY
Obstetrics & Gynecology,GYNECOLOGIE OBSTETRIQUE & FERTILITE
Oncology,LEUKEMIA RESEARCH
Oncology,CANCER MANAGEMENT AND RESEARCH
Oncology,ONCOLOGY
Oncology,TUMOR BIOLOGY
Oncology,LIVER CANCER
Oncology,JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY
Oncology,CLINICAL EPIGENETICS
Oncology,CANCER CYTOPATHOLOGY
Oncology,CELLULAR ONCOLOGY
Oncology,CANCER GENETICS
Ophthalmology,CUTANEOUS AND OCULAR TOXICOLOGY
Ophthalmology,CORNEA
Ophthalmology,INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE
Ophthalmology,JOURNAL OF VISION
Ophthalmology,CONTACT LENS & ANTERIOR EYE
Ophthalmology,OCULAR IMMUNOLOGY AND INFLAMMATION
Ophthalmology,EUROPEAN JOURNAL OF OPHTHALMOLOGY
Ophthalmology,OPHTHALMOLOGICA
Ophthalmology,CUTANEOUS AND OCULAR TOXICOLOGY
Ophthalmology,JOURNAL OF GLAUCOMA
Optics,Light-Science & Applications
Optics,LASER PHYSICS LETTERS
Optics,FIBER AND INTEGRATED OPTICS
Optics,OPTICAL REVIEW
Optics,LASER PHYSICS LETTERS
Optics,OPTICS AND LASER TECHNOLOGY
Optics,OPTIK
Optics,OPTICAL ENGINEERING
Optics,LASER PHYSICS LETTERS
Optics,JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER
Orthopedics,JOURNAL OF PLASTIC SURGERY AND HAND SURGERY
Orthopedics,CLINICS IN PODIATRIC MEDICINE AND SURGERY
Orthopedics,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE
Orthopedics,ORTHOPAEDIC JOURNAL OF SPORTS MEDICINE
Orthopedics,JOURNAL OF ORTHOPAEDIC RESEARCH
Orthopedics,ACTA ORTOPEDICA BRASILEIRA
Orthopedics,ARCHIVES OF ORTHOPAEDIC AND TRAUMA SURGERY
Orthopedics,ORTHOPAEDICS & TRAUMATOLOGY-SURGERY & RESEARCH
Orthopedics,JOURNAL OF ARTHROPLASTY
Orthopedics,JOURNAL OF FOOT AND ANKLE RESEARCH
Otorhinolaryngology,Acta Otorhinolaryngologica Italica
Otorhinolaryngology,Clinical and Experimental Otorhinolaryngology
Otorhinolaryngology,Journal of Otolaryngology-Head & Neck Surgery
Otorhinolaryngology,Acta Otorhinolaryngologica Italica
Otorhinolaryngology,JOURNAL OF INTERNATIONAL ADVANCED OTOLOGY
Otorhinolaryngology,INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY
Otorhinolaryngology,Acta Otorhinolaryngologica Italica
Otorhinolaryngology,INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY
Otorhinolaryngology,ORL-JOURNAL FOR OTO-RHINO-LARYNGOLOGY HEAD AND NECK SURGERY
Otorhinolaryngology,INTERNATIONAL FORUM OF ALLERGY & RHINOLOGY
Physics,ADVANCES IN PHYSICS-X
Physics,CHINESE PHYSICS C
Physics,PHYSICAL REVIEW X
Physics,SEMICONDUCTORS
Physics,IEEE TRANSACTIONS ON PLASMA SCIENCE
Physics,ANNALS OF PHYSICS
Physics,PHYSICA C-SUPERCONDUCTIVITY AND ITS APPLICATIONS
Physics,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS
Physics,MODERN PHYSICS LETTERS B
Physics,Entropy
Plant Sciences,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS
Plant Sciences,BRYOLOGIST
Plant Sciences,BMC PLANT BIOLOGY
Plant Sciences,ACTA PHYSIOLOGIAE PLANTARUM
Plant Sciences,PLANT CELL AND ENVIRONMENT
Plant Sciences,INVASIVE PLANT SCIENCE AND MANAGEMENT
Plant Sciences,PHYCOLOGIA
Plant Sciences,AMERICAN JOURNAL OF BOTANY
Plant Sciences,MOLECULAR PLANT PATHOLOGY
Plant Sciences,PLANT CELL REPORTS
Polymer Science,JOURNAL OF MACROMOLECULAR SCIENCE PART B-PHYSICS
Polymer Science,E-POLYMERS
Polymer Science,CHINESE JOURNAL OF POLYMER SCIENCE
Polymer Science,JOURNAL OF INORGANIC AND ORGANOMETALLIC POLYMERS AND MATERIALS
Polymer Science,POLYMER
Polymer Science,POLYMER BULLETIN
Polymer Science,JOURNAL OF POLYMER SCIENCE PART B-POLYMER PHYSICS
Polymer Science,JOURNAL OF POLYMER RESEARCH
Polymer Science,POLYMER DEGRADATION AND STABILITY
Polymer Science,DESIGNED MONOMERS AND POLYMERS
Psychology,PERCEPTUAL AND MOTOR SKILLS
Psychology,JOURNAL OF PSYCHOLOGY
Psychology,JOURNAL OF PERSONNEL PSYCHOLOGY
Psychology,JOURNAL OF MENTAL HEALTH
Psychology,JOURNAL OF FAMILY VIOLENCE
Psychology,ZEITSCHRIFT FUR PSYCHOLOGIE-JOURNAL OF PSYCHOLOGY
Psychology,YEAR IN COGNITIVE NEUROSCIENCE
Psychology,SOCIAL PSYCHOLOGY OF EDUCATION
Psychology,Journal of Child Sexual Abuse
Psychology,JOURNAL OF PSYCHOLOGY
Radiology,MAGNETIC RESONANCE IMAGING CLINICS OF NORTH AMERICA
Radiology,NUCLEAR MEDICINE AND BIOLOGY
Radiology,SEMINARS IN MUSCULOSKELETAL RADIOLOGY
Radiology,MAGNETIC RESONANCE IN MEDICAL SCIENCES
Radiology,JAPANESE JOURNAL OF RADIOLOGY
Radiology,IRANIAN JOURNAL OF RADIOLOGY
Radiology,DIAGNOSTIC AND INTERVENTIONAL IMAGING
Radiology,ACTA RADIOLOGICA
Radiology,DIAGNOSTIC AND INTERVENTIONAL IMAGING
Radiology,JOURNAL OF THE AMERICAN COLLEGE OF RADIOLOGY
Rheumatology,SEMINARS IN ARTHRITIS AND RHEUMATISM
Rheumatology,RHEUMATOLOGY INTERNATIONAL
Rheumatology,ANNALS OF THE RHEUMATIC DISEASES
Rheumatology,LUPUS
Rheumatology,AKTUELLE RHEUMATOLOGIE
Rheumatology,THERAPEUTIC ADVANCES IN MUSCULOSKELETAL DISEASE
Rheumatology,SEMINARS IN ARTHRITIS AND RHEUMATISM
Rheumatology,Archives of Rheumatology
Rheumatology,REVISTA BRASILEIRA DE REUMATOLOGIA
Rheumatology,ZEITSCHRIFT FUR RHEUMATOLOGIE
Urology & Nephrology,PERITONEAL DIALYSIS INTERNATIONAL
Urology & Nephrology,INTERNATIONAL BRAZ J UROL
Urology & Nephrology,PERITONEAL DIALYSIS INTERNATIONAL
Urology & Nephrology,BJU INTERNATIONAL
Urology & Nephrology,SCANDINAVIAN JOURNAL OF UROLOGY
Urology & Nephrology,BJU INTERNATIONAL
Urology & Nephrology,JOURNAL OF SEXUAL MEDICINE
Urology & Nephrology,AMERICAN JOURNAL OF KIDNEY DISEASES
Urology & Nephrology,NEPHRON
Urology & Nephrology,CLINICAL KIDNEY JOURNAL
Zoology,ZOOKEYS
Zoology,JOURNAL OF ZOOLOGY
Zoology,ARDEA
Zoology,ARDEOLA
Zoology,EMU
Zoology,JOURNAL OF FIELD ORNITHOLOGY
Zoology,ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE
Zoology,ORNITHOLOGICAL SCIENCE
Zoology,ZOOLOGY
Zoology,JOURNAL OF ZOOLOGY
